GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Atv,org.example,Main,86,0,8,0,13,0,6,0,2,0
Atv,org.example,Identifier,0,94,3,31,0,22,3,18,0,4
